,Compound,Date,Negative,Neutral,Positive,Tweets Ago,Username
290,0.5574,Tue Oct 02 01:16:05 +0000 2018,0.783,0.0,0.217,91,@CNN
291,-0.7351,Tue Oct 02 01:01:06 +0000 2018,0.659,0.341,0.0,92,@CNN
292,0.1779,Tue Oct 02 00:52:03 +0000 2018,0.756,0.107,0.138,93,@CNN
293,0.3773,Tue Oct 02 00:51:04 +0000 2018,0.825,0.053,0.122,94,@CNN
294,0.3612,Tue Oct 02 00:49:32 +0000 2018,0.872,0.0,0.128,95,@CNN
295,0.0,Tue Oct 02 00:49:07 +0000 2018,1.0,0.0,0.0,96,@CNN
296,-0.3818,Tue Oct 02 00:46:03 +0000 2018,0.76,0.132,0.108,97,@CNN
297,0.5574,Tue Oct 02 00:38:20 +0000 2018,0.833,0.0,0.167,98,@CNN
298,0.0,Tue Oct 02 00:35:46 +0000 2018,1.0,0.0,0.0,99,@CNN
299,0.5267,Tue Oct 02 00:31:00 +0000 2018,0.794,0.0,0.206,100,@CNN
300,-0.2263,Tue Oct 02 16:32:34 +0000 2018,0.888,0.112,0.0,1,@FoxNews
301,0.0,Tue Oct 02 16:07:39 +0000 2018,1.0,0.0,0.0,2,@FoxNews
302,-0.3182,Tue Oct 02 16:04:00 +0000 2018,0.827,0.173,0.0,3,@FoxNews
303,0.0,Tue Oct 02 16:01:08 +0000 2018,1.0,0.0,0.0,4,@FoxNews
304,0.0,Tue Oct 02 15:50:44 +0000 2018,1.0,0.0,0.0,5,@FoxNews
305,0.0,Tue Oct 02 15:39:47 +0000 2018,1.0,0.0,0.0,6,@FoxNews
306,0.0,Tue Oct 02 15:33:04 +0000 2018,1.0,0.0,0.0,7,@FoxNews
307,0.34,Tue Oct 02 15:24:46 +0000 2018,0.833,0.0,0.167,8,@FoxNews
308,0.4939,Tue Oct 02 15:18:06 +0000 2018,0.775,0.0,0.225,9,@FoxNews
309,0.0,Tue Oct 02 15:10:47 +0000 2018,1.0,0.0,0.0,10,@FoxNews
310,0.0,Tue Oct 02 15:07:27 +0000 2018,1.0,0.0,0.0,11,@FoxNews
311,-0.7351,Tue Oct 02 14:54:35 +0000 2018,0.744,0.256,0.0,12,@FoxNews
312,0.5399,Tue Oct 02 14:52:56 +0000 2018,0.791,0.0,0.209,13,@FoxNews
313,-0.296,Tue Oct 02 14:47:57 +0000 2018,0.885,0.115,0.0,14,@FoxNews
314,0.0,Tue Oct 02 14:41:05 +0000 2018,1.0,0.0,0.0,15,@FoxNews
315,0.1779,Tue Oct 02 14:36:06 +0000 2018,0.769,0.1,0.131,16,@FoxNews
316,-0.0258,Tue Oct 02 14:27:28 +0000 2018,0.591,0.232,0.177,17,@FoxNews
317,-0.3252,Tue Oct 02 14:17:54 +0000 2018,0.857,0.143,0.0,18,@FoxNews
318,0.0,Tue Oct 02 14:13:40 +0000 2018,1.0,0.0,0.0,19,@FoxNews
319,0.0,Tue Oct 02 14:10:19 +0000 2018,1.0,0.0,0.0,20,@FoxNews
320,0.0516,Tue Oct 02 14:08:00 +0000 2018,0.729,0.13,0.141,21,@FoxNews
321,0.7096,Tue Oct 02 14:04:42 +0000 2018,0.742,0.0,0.258,22,@FoxNews
322,0.4927,Tue Oct 02 14:00:27 +0000 2018,0.862,0.0,0.138,23,@FoxNews
323,0.0,Tue Oct 02 13:56:45 +0000 2018,1.0,0.0,0.0,24,@FoxNews
324,0.3818,Tue Oct 02 13:55:12 +0000 2018,0.755,0.0,0.245,25,@FoxNews
325,-0.296,Tue Oct 02 13:54:09 +0000 2018,0.872,0.128,0.0,26,@FoxNews
326,0.0,Tue Oct 02 13:49:55 +0000 2018,1.0,0.0,0.0,27,@FoxNews
327,-0.4019,Tue Oct 02 13:20:00 +0000 2018,0.838,0.162,0.0,28,@FoxNews
328,0.0,Tue Oct 02 13:15:00 +0000 2018,1.0,0.0,0.0,29,@FoxNews
329,0.0387,Tue Oct 02 13:14:18 +0000 2018,0.905,0.0,0.095,30,@FoxNews
330,0.1779,Tue Oct 02 13:03:08 +0000 2018,0.825,0.0,0.175,31,@FoxNews
331,0.0,Tue Oct 02 13:00:01 +0000 2018,1.0,0.0,0.0,32,@FoxNews
332,0.2023,Tue Oct 02 12:45:00 +0000 2018,0.763,0.102,0.136,33,@FoxNews
333,0.0,Tue Oct 02 12:29:18 +0000 2018,1.0,0.0,0.0,34,@FoxNews
334,-0.296,Tue Oct 02 12:27:15 +0000 2018,0.901,0.099,0.0,35,@FoxNews
335,0.4404,Tue Oct 02 12:25:00 +0000 2018,0.734,0.0,0.266,36,@FoxNews
336,0.5652,Tue Oct 02 12:24:58 +0000 2018,0.819,0.0,0.181,37,@FoxNews
